product_name,overall_rating,no_ratings,no_reviews,rating,title,review,cleaned_text,textblob_sentiment_seq,textblob_polarity_seq,textblob_sentiment_par,textblob_polarity_par,roberta_sentiment_seq,roberta_confidence_seq,roberta_sentiment_par,roberta_confidence_par
Apple MacBook AIR Apple M2 - (8 GB/256 GB SSD/Mac OS Monterey)...,4.7,"15,210",900,5,Perfect product!,"Loved it, it's my first MacBook that I earned from my hardwork 🥺❤️",loved first macbook earned hardwork,positive,0.475,positive,0.475,positive,0.9906877875328064,positive,0.9906877875328064
Apple MacBook AIR Apple M2 - (8 GB/256 GB SSD/Mac OS Monterey)...,4.7,"15,210",900,5,Fabulous!,"Battery lasted longer than my first relationship (2 days).
Listening to Arijit singh songs on full volume since then still isn't getting over. Has more warmth than her. unlike her there's two way communication here as touchpad is very responsive. fingerprint lock is nice as it only opens up to me. 5 stars for this -1 for her",battery lasted longer first relationship days listening arijit singh songs full volume since still isnt getting warmth unlike theres two way communication touchpad responsive fingerprint lock nice opens stars,positive,0.31666666666666665,positive,0.31666666666666665,positive,0.8910505175590515,positive,0.8910505175590515
Apple MacBook AIR Apple M2 - (8 GB/256 GB SSD/Mac OS Monterey)...,4.7,"15,210",900,5,Fabulous!,"Such a great deal.. very happy with the performance and battery life..Origional product..🥰❤️
Thank you Flipkart..!!!",great deal happy performance battery lifeorigional product thank flipkart,positive,0.6,positive,0.6,positive,0.9888296723365784,positive,0.9888296723365784
Apple MacBook AIR Apple M2 - (8 GB/256 GB SSD/Mac OS Monterey)...,4.7,"15,210",900,4,Delightful,"Awesome build quality and very good display, battery and camera. Still new to macOS",awesome build quality good display battery camera still new macos,positive,0.6821212121212121,positive,0.6821212121212121,positive,0.9822637438774109,positive,0.9822637438774109
Apple MacBook AIR Apple M2 - (8 GB/256 GB SSD/Mac OS Monterey)...,4.7,"15,210",900,5,Awesome,"When i ordered and came to know about seller review,i was scared that in what condition i will get macbook. but i was wrong.

This is my first macbook and i am fully satisfied with the product with original packaging of apple and got genuine product.

It's very thin and light and looks very premium.

As A software developer, i installed intellij idea ide and guess what.
It's magic,it is opening just in a click and within 5 seconds.
Great performance, no heating issue, sound quality awesome an...
READ MORE",ordered came know seller reviewi scared condition get macbook wrong first macbook fully satisfied product original packaging apple got genuine product thin light looks premium software developer installed intellij idea ide guess magicit opening click within seconds great performance heating issue sound quality awesome read,positive,0.31708333333333333,positive,0.31708333333333333,positive,0.4692973792552948,positive,0.4692973792552948
Apple MacBook AIR Apple M2 - (8 GB/256 GB SSD/Mac OS Monterey)...,4.7,"15,210",900,5,Super!,Super product,super product,positive,0.3333333333333333,positive,0.3333333333333333,positive,0.9507879614830017,positive,0.9507879614830017
Apple MacBook AIR Apple M2 - (8 GB/256 GB SSD/Mac OS Monterey)...,4.7,"15,210",900,5,Super!,Go for it..its awesome,itits awesome,positive,1.0,positive,1.0,positive,0.9735857844352722,positive,0.9735857844352722
Apple MacBook AIR Apple M2 - (8 GB/256 GB SSD/Mac OS Monterey)...,4.7,"15,210",900,5,Mind-blowing purchase,"Best , best and best 🫶🏻👑🍎",best best best,positive,1.0,positive,1.0,positive,0.9680894017219543,positive,0.9680894017219543
Apple MacBook AIR Apple M2 - (8 GB/256 GB SSD/Mac OS Monterey)...,4.7,"15,210",900,5,Just wow!,Its really very good and compact device.,really good compact device,positive,0.9099999999999999,positive,0.9099999999999999,positive,0.9800146818161011,positive,0.9800146818161011
Apple MacBook AIR Apple M2 - (8 GB/256 GB SSD/Mac OS Monterey)...,4.7,"15,210",900,5,Brilliant,"Superb built quality, Amazing performance and display quality...

Got it at 72k, wonderful product at great price.",superb built quality amazing performance display quality got 72k wonderful product great price,positive,0.8500000000000001,positive,0.8500000000000001,positive,0.9773943424224854,positive,0.9773943424224854
Apple MacBook AIR Apple M2 - (8 GB/256 GB SSD/Mac OS Monterey)...,4.7,"15,210",900,5,Mind-blowing purchase,"Great laptop. Very good performance, battery life and look and feel. Very happy with my purchase",great laptop good performance battery life look feel happy purchase,positive,0.9033333333333333,positive,0.9033333333333333,positive,0.9880919456481934,positive,0.9880919456481934
Apple MacBook AIR Apple M2 - (8 GB/256 GB SSD/Mac OS Monterey)...,4.7,"15,210",900,5,Terrific,Superb 😍,superb,positive,1.0,positive,1.0,positive,0.9751926064491272,positive,0.9751926064491272
Apple MacBook AIR Apple M2 - (8 GB/256 GB SSD/Mac OS Monterey)...,4.7,"15,210",900,5,Mind-blowing purchase,Best powerful machine in all aspects,best powerful machine aspects,positive,0.65,positive,0.65,positive,0.9559749960899353,positive,0.9559749960899353
Apple MacBook AIR Apple M2 - (8 GB/256 GB SSD/Mac OS Monterey)...,4.7,"15,210",900,5,Mind-blowing purchase,just love how apple is in their own league!!,love apple league,positive,0.71875,positive,0.71875,positive,0.9817138314247131,positive,0.9817138314247131
Apple MacBook AIR Apple M2 - (8 GB/256 GB SSD/Mac OS Monterey)...,4.7,"15,210",900,5,Highly recommended,This is the first MacBook I ever have. And I must say no one can match Apple product.,first macbook ever must say one match apple product,positive,0.25,positive,0.25,positive,0.9439995288848877,positive,0.9439995288848877
Apple MacBook AIR Apple M2 - (8 GB/256 GB SSD/Mac OS Monterey)...,4.7,"15,210",900,5,Brilliant,Product is nice but price droped by 6k after purchasing so feels a bit dispointed.,product nice price droped purchasing feels bit dispointed,positive,0.6,positive,0.6,negative,0.7539275288581848,negative,0.7539275288581848
Apple MacBook AIR Apple M2 - (8 GB/256 GB SSD/Mac OS Monterey)...,4.7,"15,210",900,5,Worth every penny,Worth every penny u spend,worth every penny spend,positive,0.3,positive,0.3,positive,0.6952482461929321,positive,0.6952482461929321
Apple MacBook AIR Apple M2 - (8 GB/256 GB SSD/Mac OS Monterey)...,4.7,"15,210",900,5,Brilliant,Its very good product.,good product,positive,0.9099999999999999,positive,0.9099999999999999,positive,0.9740172624588013,positive,0.9740172624588013
Apple MacBook AIR Apple M2 - (8 GB/256 GB SSD/Mac OS Monterey)...,4.7,"15,210",900,5,Terrific purchase,"My first MacBook and also my first laptop. First I thought of buying a windows laptop as macbooks are way more expensive. But during the sale I bought it at 73k which is a steal deal. I am a college student and mainly bought it for coding, streaming videos and movies and also for some editing tasks.

I would like to tell you if you are not a gamer this is one of the best laptops you can have in this price range. Loved the design, the colour, the sound , the display, the battery backup and al...
READ MORE",first macbook also first laptop first thought buying windows laptop macbooks way expensive sale bought 73k steal deal college student mainly bought coding streaming videos movies also editing tasks would like tell gamer one best laptops price range loved design colour sound display battery backup read,positive,0.3516666666666666,positive,0.3516666666666666,positive,0.7635782361030579,positive,0.7635782361030579
Apple MacBook AIR Apple M2 - (8 GB/256 GB SSD/Mac OS Monterey)...,4.7,"15,210",900,5,Must buy!,"A good power pack laptop to go with,",good power pack laptop,positive,0.7,positive,0.7,positive,0.6844002604484558,positive,0.6844002604484558
Apple MacBook AIR Apple M2 - (8 GB/256 GB SSD/Mac OS Monterey)...,4.7,"15,210",900,5,Wonderful,"This is my first macbook...was using windows since 3rd grade ...both are different but macOS feels so smooth and optimised.

As soon as I setted it up ... I got one update... offcourse I updated my Mac.

I am loving this product... Especially the screen corners are so thin with least bezels..
Battery life is amazing...used moderately for 1 day.. discharged 50 %",first macbookwas using windows since 3rd grade different macos feels smooth optimised soon setted got one update offcourse updated mac loving product especially screen corners thin least bezels battery life amazingused moderately day discharged,positive,0.061111111111111116,positive,0.061111111111111116,positive,0.9111051559448242,positive,0.9111051559448242
Apple MacBook AIR Apple M2 - (8 GB/256 GB SSD/Mac OS Monterey)...,4.7,"15,210",900,5,Excellent,First mac and it works like a beast,first mac works like beast,positive,0.25,positive,0.25,positive,0.9503183364868164,positive,0.9503183364868164
Apple MacBook AIR Apple M2 - (8 GB/256 GB SSD/Mac OS Monterey)...,4.7,"15,210",900,5,Super!,This is the best in my entire life . Such a human Machine it is and 😀🎉,best entire life human machine,positive,0.25,positive,0.25,positive,0.9890398979187012,positive,0.9890398979187012
Apple MacBook AIR Apple M2 - (8 GB/256 GB SSD/Mac OS Monterey)...,4.7,"15,210",900,5,Simply awesome,Perfect one for office workers,perfect one office workers,positive,1.0,positive,1.0,positive,0.9518200159072876,positive,0.9518200159072876
Apple MacBook AIR Apple M2 - (8 GB/256 GB SSD/Mac OS Monterey)...,4.7,"15,210",900,5,Classy product,This is a great device as a personal laptop or work machine. The Full HD camera is a welcome addition. 6 month M365 subscription is free with this machine and that is a good add-on benefit. The small notch around the camera in the top middle of the screen is pretty neatly integrated and does not disturb. The build quality is fantastic and form factor is perfect to hold and operate.,great device personal laptop work machine full camera welcome addition month m365 subscription free machine good addon benefit small notch around camera top middle screen pretty neatly integrated disturb build quality fantastic form factor perfect hold operate,positive,0.4124999999999999,positive,0.4124999999999999,positive,0.9813756942749023,positive,0.9813756942749023
Apple MacBook AIR Apple M2 - (8 GB/256 GB SSD/Mac OS Monterey)...,4.7,"15,210",900,5,Highly recommended,"Just got the product, While detailed review will updated after couple of months usage.
From initial usage it's the best laptop i have used in my career",got product detailed review updated couple months usage initial usage best laptop used career,positive,0.4666666666666666,positive,0.4666666666666666,positive,0.9749568700790405,positive,0.9749568700790405
Apple MacBook AIR Apple M2 - (8 GB/256 GB SSD/Mac OS Monterey)...,4.7,"15,210",900,5,Wonderful,Very nice,nice,positive,0.78,positive,0.78,positive,0.922860860824585,positive,0.922860860824585
